Instrument,Entry_Date,Trade_Type,Exit_Reason,Entry_Price,IV,OI,Exit_Date,Exit_Price,Threshold,SL_Price,Realised_PnL,PnL%,Markdown_pct,Sharpe,Cum_PnL
NIFTY20230629.FUT.NSE,2023-06-16,Long,EXP_FORCED,18899.15,10.907,10186750,2023-06-29,18899.15,18886.37,N/A,0.00,0.00,0.07,-,0.00
NIFTY20230727.FUT.NSE,2023-07-17,Long,SAR,19721.2,10.246,10834050,2023-07-27,19646.9,19647.43,N/A,-3715.00,-18.84,-0.00,-,-3715.00
NIFTY20230831.FUT.NSE,2023-08-25,Short,EXP_FORCED,19250.3,11.485,9808650,2023-08-31,19250.3,19290.74,N/A,0.00,0.00,-0.21,-,0.00
NIFTY20230928.FUT.NSE,2023-09-07,Long,SAR,19768.7,12.365,10125400,2023-09-21,19778.7,19692.67,N/A,500.00,2.53,0.44,-,500.00
NIFTY20230928.FUT.NSE,2023-09-22,Short,EXP_FORCED,19708.25,10.955,8655250,2023-09-28,19708.25,19725.26,N/A,0.00,0.00,-0.09,-,500.00
NIFTY20231026.FUT.NSE,2023-10-10,Long,SAR,19738.1,11.311,10284100,2023-10-20,19527.85,19711.64,N/A,-10512.50,-53.26,-0.93,-,-10512.50
NIFTY20231026.FUT.NSE,2023-10-23,Short,EXP_FORCED,19269.2,13.064,7222400,2023-10-26,19269.2,19488.79,N/A,0.00,0.00,-1.13,-,-10512.50
NIFTY20231130.FUT.NSE,2023-11-15,Long,EXP_FORCED,19723.3,11.053,11400600,2023-11-30,19723.3,19669.65,N/A,0.00,0.00,0.27,-,0.00
NIFTY20231228.FUT.NSE,2023-12-14,Long,EXP_FORCED,21327.649999,14.515,12898850,2023-12-28,21327.649999,21151.08,N/A,0.00,0.00,0.83,-,0.00
NIFTY20240125.FUT.NSE,2024-01-12,Long,SAR,21947.0,13.662,11930100,2024-01-18,21527.449999,21832.71,N/A,-20977.50,-95.58,-1.40,-,-20977.50
NIFTY20240125.FUT.NSE,2024-01-23,Short,EXP_FORCED,21194.25,12.985,7888100,2024-01-25,21194.25,21295.48,N/A,0.00,0.00,-0.48,-,-20977.50
NIFTY20240229.FUT.NSE,2024-02-19,Long,EXP_FORCED,22171.4,12.212,11758800,2024-02-29,22171.4,22162.09,N/A,0.00,0.00,0.04,-,0.00
NIFTY20240328.FUT.NSE,2024-03-06,Long,SAR,22593.05,14.699,13337150,2024-03-13,22103.25,22569.55,N/A,-24490.00,-108.40,-2.07,-,-24490.00
NIFTY20240328.FUT.NSE,2024-03-19,Short,EXP_FORCED,21886.5,13.531,11935350,2024-03-28,21886.5,21978.00,N/A,0.00,0.00,-0.42,-,-24490.00
NIFTY20240425.FUT.NSE,2024-04-08,Long,SAR,22748.5,13.744,10465700,2024-04-15,22357.3,22691.67,N/A,-19560.00,-85.98,-1.47,-,-19560.00
NIFTY20240425.FUT.NSE,2024-04-16,Short,EXP_FORCED,22200.75,12.834,11034550,2024-04-25,22200.75,22319.66,N/A,0.00,0.00,-0.53,-,-19560.00
NIFTY20240530.FUT.NSE,2024-05-09,Short,EXP_FORCED,22075.8,13.546,12256875,2024-05-30,22075.8,22263.86,N/A,0.00,0.00,-0.84,-,0.00
NIFTY20240627.FUT.NSE,2024-06-18,Long,EXP_FORCED,23568.1,23.495,12311450,2024-06-27,23568.1,23513.34,N/A,0.00,0.00,0.23,-,0.00
NIFTY20240725.FUT.NSE,2024-07-09,Long,SAR,24485.649999,8.7076,14473150,2024-07-24,24388.75,24479.35,N/A,-4845.00,-19.79,-0.37,-,-4845.00
NIFTY20240829.FUT.NSE,2024-08-16,Long,EXP_FORCED,24585.5,15.388,11295600,2024-08-29,24585.5,24554.53,N/A,0.00,0.00,0.13,-,0.00
NIFTY20240926.FUT.NSE,2024-09-06,Short,EXP_FORCED,24906.0,12.341,14273075,2024-09-26,24906.0,25117.21,N/A,0.00,0.00,-0.84,-,0.00
NIFTY20241031.FUT.NSE,2024-10-17,Short,EXP_FORCED,24843.8,12.007,13530700,2024-10-31,24843.8,24944.18,N/A,0.00,0.00,-0.40,-,0.00
NIFTY20241128.FUT.NSE,2024-11-12,Short,EXP_FORCED,23959.6,15.732,11685000,2024-11-28,23959.6,24068.51,N/A,0.00,0.00,-0.45,-,0.00
NIFTY20241226.FUT.NSE,2024-12-13,Long,SAR,24830.75,11.687,10856375,2024-12-17,24417.649999,24823.60,N/A,-20655.00,-83.18,-1.64,-,-20655.00
NIFTY20241226.FUT.NSE,2024-12-19,Short,EXP_FORCED,24018.8,13.487,10735200,2024-12-26,24018.8,24192.03,N/A,0.00,0.00,-0.72,-,-20655.00
NIFTY20250130.FUT.NSE,2025-01-10,Short,EXP_FORCED,23500.649999,16.253,13543325,2025-01-30,23500.649999,23569.71,N/A,0.00,0.00,-0.29,-,0.00
NIFTY20250227.FUT.NSE,2025-02-10,Short,EXP_FORCED,23459.15,16.393,17100975,2025-02-27,23459.15,23473.40,N/A,0.00,0.00,-0.06,-,0.00
NIFTY20250327.FUT.NSE,2025-03-18,Long,EXP_FORCED,22895.4,13.616,16764675,2025-03-27,22895.4,22692.67,N/A,0.00,0.00,0.89,-,0.00
NIFTY20250424.FUT.NSE,2025-04-07,Short,EXP_FORCED,22263.8,18.983,13875975,2025-04-24,22263.8,22897.13,N/A,0.00,0.00,-2.77,-,0.00
NIFTY20250529.FUT.NSE,2025-05-08,Short,EXP_FORCED,24271.9,12.523,12776925,2025-05-29,24271.9,24285.69,N/A,0.00,0.00,-0.06,-,0.00
NIFTY20250626.FUT.NSE,2025-06-06,Long,SAR,25096.3,13.031,12180600,2025-06-13,24727.4,25033.81,N/A,-18445.00,-73.50,-1.22,-,-18445.00
NIFTY20250626.FUT.NSE,2025-06-20,Long,EXP_FORCED,25111.7,10.860,10854000,2025-06-26,25111.7,25049.82,N/A,0.00,0.00,0.25,-,-18445.00
