Instrument,Entry_Date,Trade_Type,Exit_Reason,Entry_Price,Exit_Date,Exit_Price,Threshold,SL_Price,Realised_PnL,PnL%,Cum_PnL,Win/Loss,is_win
NIFTY20230727.FUT.NSE,17.0,Long,TP,18844.09,19.0,18985.07,18844.09,18773.6,140.98,0.75,-600.17,Win,True
NIFTY20230727.FUT.NSE,38.0,Long,SL,19740.38,39.0,19666.54,19740.38,19666.54,-73.84,-0.37,-80.16,Loss,False
NIFTY20230831.FUT.NSE,17.0,Long,TP,18940.78,19.0,19082.49,18940.78,18869.93,141.7,0.75,-458.47,Win,True
NIFTY20230831.FUT.NSE,40.0,Short,SL,19761.87,41.0,19836.16,19761.87,19836.16,74.29,0.38,-29.56,Win,True
NIFTY20230831.FUT.NSE,44.0,Short,SL,19547.56,45.0,19621.05,19547.56,19621.05,73.49,0.38,-15.69,Win,True
NIFTY20230831.FUT.NSE,52.0,Long,SL,19527.05,53.0,19454.0,19527.05,19454.0,-73.04,-0.37,732.77,Loss,False
NIFTY20230831.FUT.NSE,54.0,Short,SL,19345.42,55.0,19418.14,19345.42,19418.14,72.73,0.38,472.0,Win,True
NIFTY20230831.FUT.NSE,60.0,Long,SL,19298.43,63.0,19226.24,19298.43,19226.24,-72.19,-0.37,-353.04,Loss,False
NIFTY20230928.FUT.NSE,20.0,Short,SL,19879.88,21.0,19954.61,19879.88,19954.61,74.74,0.38,-389.92,Win,True
NIFTY20230928.FUT.NSE,24.0,Short,SL,19666.76,26.0,19740.7,19666.76,19740.7,73.94,0.38,247.63,Win,True
NIFTY20230928.FUT.NSE,32.0,Long,SL,19644.94,33.0,19571.46,19644.94,19571.46,-73.48,-0.37,502.54,Loss,False
NIFTY20230928.FUT.NSE,34.0,Short,SL,19461.23,35.0,19534.39,19461.23,19534.39,73.16,0.38,146.25,Win,True
NIFTY20230928.FUT.NSE,40.0,Long,TIME,19413.36,43.0,19414.25,19413.36,19340.74,0.89,0.0,65.5,Win,True
NIFTY20230928.FUT.NSE,57.0,Short,TP,19922.12,58.0,19772.33,19922.12,19997.02,-149.79,-0.75,-73.66,Loss,False
NIFTY20230928.FUT.NSE,59.0,Short,SL,19658.98,61.0,19732.89,19658.98,19732.89,73.91,0.38,-94.93,Win,True
NIFTY20231026.FUT.NSE,12.0,Short,TP,19639.08,14.0,19491.42,19639.08,19712.91,-147.66,-0.75,-94.37,Loss,False
NIFTY20231026.FUT.NSE,15.0,Long,TIME,19578.72,18.0,19605.95,19578.72,19505.49,27.23,0.14,-741.15,Win,True
NIFTY20231026.FUT.NSE,20.0,Long,TIME,19505.34,23.0,19516.7,19505.34,19432.38,11.36,0.06,-44.61,Win,True
NIFTY20231026.FUT.NSE,37.0,Short,TP,20037.53,38.0,19886.87,20037.53,20112.86,-150.66,-0.75,-421.01,Loss,False
NIFTY20231026.FUT.NSE,39.0,Short,SL,19773.09,41.0,19847.43,19773.09,19847.43,74.33,0.38,-103.85,Win,True
NIFTY20231026.FUT.NSE,43.0,Long,SL,19686.19,44.0,19612.55,19686.19,19612.55,-73.64,-0.37,-84.17,Loss,False
NIFTY20231026.FUT.NSE,45.0,Short,SL,19522.57,46.0,19595.96,19522.57,19595.96,73.39,0.38,-112.42,Win,True
NIFTY20231026.FUT.NSE,56.0,Short,TP,19634.14,57.0,19486.52,19634.14,19707.95,-147.63,-0.75,76.13,Loss,False
NIFTY20231026.FUT.NSE,58.0,Short,TP,19479.03,59.0,19332.57,19479.03,19552.26,-146.46,-0.75,-167.9,Loss,False
NIFTY20231130.FUT.NSE,13.0,Short,TP,20155.09,14.0,20003.54,20155.09,20230.86,-151.54,-0.75,-70.01,Loss,False
