Instrument,Entry_Date,Trade_Type,Exit_Reason,Entry_Price,IV,OI,Exit_Date,Exit_Price,Threshold,SL_Price,Realised_PnL,PnL%,MDD_pct,Sharpe,Cum_PnL,Win/Loss,is_win
NIFTY20230727.FUT.NSE,2025-06-29,Long,TP,18650.35,4662.59,186503,2025-06-29,19646.9,20010.14,18277.34,996.55,5.34,1.62,4.54,996.55,Win,True
NIFTY20230629.FUT.NSE,2025-06-29,Long,EXP_FORCED,18570.0,4642.5,185700,2025-06-29,18811.2,18936.95,18198.6,241.2,1.3,1.02,2.75,1237.75,Win,True
NIFTY20240627.FUT.NSE,2025-06-29,Long,TP,22875.0,5718.75,228750,2025-06-29,24038.05,23915.69,22417.5,1163.05,5.08,6.41,1.68,2400.8,Win,True
NIFTY20231228.FUT.NSE,2025-06-29,Long,TP,19935.8,4983.95,199358,2025-06-29,21774.7,21725.16,19537.08,1838.9,9.22,4.96,3.61,4239.7,Win,True
NIFTY20240125.FUT.NSE,2025-06-29,Long,TP,19343.4,4835.85,193434,2025-06-29,21325.45,22177.57,18956.53,1982.05,10.25,4.24,3.52,6221.75,Win,True
NIFTY20240530.FUT.NSE,2025-06-29,Long,EXP_FORCED,22705.25,5676.31,227052,2025-06-29,22482.5,23065.64,22251.15,-222.75,-0.98,3.78,-0.4,5999.0,Loss,False
NIFTY20240229.FUT.NSE,2025-06-29,Long,TP,20598.6,5149.65,205986,2025-06-29,21957.4,22287.74,20186.63,1358.8,6.6,4.14,2.17,7357.8,Win,True
NIFTY20231130.FUT.NSE,2025-06-29,Long,EXP_FORCED,19705.05,4926.26,197050,2025-06-29,20129.4,20171.71,19310.95,424.35,2.15,7.28,1.03,7782.15,Win,True
NIFTY20240328.FUT.NSE,2025-06-29,Long,EXP_FORCED,22155.7,5538.93,221557,2025-06-29,22342.3,22638.24,21712.59,186.6,0.84,4.02,0.35,7968.75,Win,True
NIFTY20230831.FUT.NSE,2025-06-29,Long,EXP_FORCED,18736.1,4684.02,187361,2025-06-29,19252.0,19728.98,18361.38,515.9,2.75,4.08,1.55,8484.65,Win,True
NIFTY20230928.FUT.NSE,2025-06-29,Long,EXP_FORCED,19438.45,4859.61,194384,2025-06-29,19522.95,20290.1,19049.68,84.5,0.43,4.01,0.28,8569.15,Win,True
NIFTY20231026.FUT.NSE,2025-06-29,Long,SL,19964.0,4991.0,199640,2025-06-29,18856.7,19889.8,19564.72,-1107.3,-5.55,7.35,-2.75,7461.85,Loss,False
NIFTY20240425.FUT.NSE,2025-06-29,Long,EXP_FORCED,22125.75,5531.44,221257,2025-06-29,22583.6,22858.02,21683.24,457.85,2.07,3.32,0.94,7919.7,Win,True
NIFTY20240829.FUT.NSE,2025-06-29,Long,TP,22955.75,5738.94,229557,2025-06-29,25169.9,25098.45,22496.63,2214.15,9.65,6.28,2.1,10133.85,Win,True
NIFTY20240725.FUT.NSE,2025-06-29,Long,TP,22841.7,5710.43,228417,2025-06-29,24405.25,24858.67,22384.87,1563.55,6.85,6.28,2.21,11697.4,Win,True
NIFTY20250130.FUT.NSE,2025-06-29,Long,SL,24651.6,6162.9,246516,2025-06-29,23235.1,24331.22,24158.57,-1416.5,-5.75,8.64,-1.83,10280.9,Loss,False
NIFTY20240926.FUT.NSE,2025-06-29,Long,TP,24360.55,6090.14,243605,2025-06-29,26226.5,26050.2,23873.34,1865.95,7.66,3.85,2.8,12146.85,Win,True
NIFTY20241031.FUT.NSE,2025-06-29,Long,SL,25146.0,6286.5,251460,2025-06-29,24203.3,25526.65,24643.08,-942.7,-3.75,8.17,-1.18,11204.15,Loss,False
NIFTY20250327.FUT.NSE,2025-06-29,Long,SL,24275.45,6068.86,242754,2025-06-29,23593.6,23752.76,23789.94,-681.85,-2.81,9.62,-0.92,10522.3,Loss,False
NIFTY20250529.FUT.NSE,2025-06-29,Long,TP,22556.15,5639.04,225561,2025-06-29,24814.2,25128.86,22105.03,2258.05,10.01,6.72,2.51,12780.35,Win,True
NIFTY20241226.FUT.NSE,2025-06-29,Long,SL,26564.1,6641.02,265641,2025-06-29,23748.7,24880.41,26032.82,-2815.4,-10.6,11.53,-3.73,9964.95,Loss,False
NIFTY20241128.FUT.NSE,2025-06-29,Long,SL,25623.85,6405.96,256238,2025-06-29,23903.55,24661.52,25111.37,-1720.3,-6.71,11.76,-2.22,8244.65,Loss,False
NIFTY20250227.FUT.NSE,2025-06-29,Long,SL,24596.4,6149.1,245964,2025-06-29,22547.75,23832.97,24104.47,-2048.65,-8.33,10.29,-3.19,6196.0,Loss,False
NIFTY20250828.FUT.NSE,2025-06-29,Long,EXP_FORCED,25126.0,6281.5,251260,2025-06-29,25302.2,25497.99,24623.48,176.2,0.7,1.87,1.11,6372.2,Win,True
NIFTY20250626.FUT.NSE,2025-06-29,Long,TP,23874.9,5968.73,238749,2025-06-29,25071.7,25262.12,23397.4,1196.8,5.01,5.92,1.35,7569.0,Win,True
NIFTY20250424.FUT.NSE,2025-06-29,Long,EXP_FORCED,23899.4,5974.85,238994,2025-06-29,24245.7,24361.33,23421.41,346.3,1.45,7.48,0.52,7915.3,Win,True
NIFTY20250731.FUT.NSE,2025-06-29,Long,EXP_FORCED,24366.4,6091.6,243664,2025-06-29,25179.1,25393.08,23879.07,812.7,3.34,2.03,1.49,8728.0,Win,True
