instrument_id,pnl,return_pct,max_drawdown_pct,sharpe,num_quotes
NIFTY20230727.FUT.NSE,996.55,5.34,1.62,4.54,40
NIFTY20240627.FUT.NSE,1163.05,5.08,6.41,1.68,36
NIFTY20231026.FUT.NSE,-1107.3,-5.55,7.35,-2.75,61
NIFTY20240125.FUT.NSE,1982.05,10.25,4.24,3.52,63
NIFTY20240425.FUT.NSE,457.85,2.07,3.32,0.94,60
NIFTY20230628.FUT.NSE,0.0,0.0,0.0,0.0,1
NIFTY20240328.FUT.NSE,186.6,0.84,4.02,0.35,63
NIFTY20230928.FUT.NSE,84.5,0.43,4.01,0.28,63
NIFTY20240229.FUT.NSE,1358.8,6.6,4.14,2.17,63
NIFTY20230629.FUT.NSE,241.2,1.3,1.02,2.75,19
NIFTY20231130.FUT.NSE,424.35,2.15,7.28,1.03,61
NIFTY20231228.FUT.NSE,1838.9,9.22,4.96,3.61,61
NIFTY20240530.FUT.NSE,-222.75,-0.98,3.78,-0.4,60
NIFTY20230831.FUT.NSE,515.9,2.75,4.08,1.55,64
NIFTY20240926.FUT.NSE,1865.95,7.66,3.85,2.8,63
NIFTY20240829.FUT.NSE,2214.15,9.65,6.28,2.1,62
NIFTY20240725.FUT.NSE,1563.55,6.85,6.28,2.21,38
NIFTY20250424.FUT.NSE,346.3,1.45,7.48,0.52,55
NIFTY20250529.FUT.NSE,2258.05,10.01,6.72,2.51,59
NIFTY20241031.FUT.NSE,-942.7,-3.75,8.17,-1.18,68
NIFTY20241128.FUT.NSE,-1720.3,-6.71,11.76,-2.22,62
NIFTY20250731.FUT.NSE,812.7,3.34,2.03,1.49,42
NIFTY20250828.FUT.NSE,176.2,0.7,1.87,1.11,18
NIFTY20241226.FUT.NSE,-2815.4,-10.6,11.53,-3.73,61
NIFTY20250130.FUT.NSE,-1416.5,-5.75,8.64,-1.83,62
NIFTY20250327.FUT.NSE,-681.85,-2.81,9.62,-0.92,64
NIFTY20250626.FUT.NSE,1196.8,5.01,5.92,1.35,58
NIFTY20250227.FUT.NSE,-2048.65,-8.33,10.29,-3.19,64
