Instrument,Entry_Date,Trade_Type,Exit_Reason,Entry_Price,IV,OI,Exit_Date,Exit_Price,Threshold,SL_Price,Realised_PnL,PnL%,Markdown_pct,Sharpe,Cum_PnL,is_win
UNKNOWN,N/A,Long,N/A,19438.45,,,N/A,19522.95,,,84.5,0.43,,0.28,84.5,True
UNKNOWN,N/A,Long,N/A,19964.0,,,N/A,18856.7,,,-1107.3,-5.55,,-2.75,-1022.8,False
UNKNOWN,N/A,Long,N/A,18736.1,,,N/A,19252.0,,,515.9,2.75,,1.55,-506.9,True
UNKNOWN,N/A,Long,N/A,19935.8,,,N/A,21774.7,,,1838.9,9.22,,3.61,1332.0,True
UNKNOWN,N/A,Long,N/A,22155.7,,,N/A,22342.3,,,186.6,0.84,,0.35,1518.6,True
UNKNOWN,N/A,Long,N/A,18570.0,,,N/A,18811.2,,,241.2,1.3,,2.75,1759.8,True
UNKNOWN,N/A,Long,N/A,22705.25,,,N/A,22482.5,,,-222.75,-0.98,,-0.4,1537.05,False
UNKNOWN,N/A,Long,N/A,19343.4,,,N/A,21325.45,,,1982.05,10.25,,3.52,3519.1,True
UNKNOWN,N/A,Long,N/A,20598.6,,,N/A,21957.4,,,1358.8,6.6,,2.17,4877.9,True
UNKNOWN,N/A,Long,N/A,18650.35,,,N/A,19646.9,,,996.55,5.34,,4.54,5874.45,True
UNKNOWN,N/A,Long,N/A,18966.3,,,N/A,18966.3,,,0.0,0.0,,0.0,5874.45,False
UNKNOWN,N/A,Long,N/A,19705.05,,,N/A,20129.4,,,424.35,2.15,,1.03,6298.8,True
UNKNOWN,N/A,Long,N/A,22875.0,,,N/A,24038.05,,,1163.05,5.08,,1.68,7461.85,True
UNKNOWN,N/A,Long,N/A,22125.75,,,N/A,22583.6,,,457.85,2.07,,0.94,7919.7,True
UNKNOWN,N/A,Long,N/A,22841.7,,,N/A,24405.25,,,1563.55,6.85,,2.21,9483.25,True
UNKNOWN,N/A,Long,N/A,22556.15,,,N/A,24814.2,,,2258.05,10.01,,2.51,11741.3,True
UNKNOWN,N/A,Long,N/A,24360.55,,,N/A,26226.5,,,1865.95,7.66,,2.8,13607.25,True
UNKNOWN,N/A,Long,N/A,22955.75,,,N/A,25169.9,,,2214.15,9.65,,2.1,15821.4,True
UNKNOWN,N/A,Long,N/A,25146.0,,,N/A,24203.3,,,-942.7,-3.75,,-1.18,14878.7,False
UNKNOWN,N/A,Long,N/A,25623.85,,,N/A,23903.55,,,-1720.3,-6.71,,-2.22,13158.4,False
UNKNOWN,N/A,Long,N/A,24651.6,,,N/A,23235.1,,,-1416.5,-5.75,,-1.83,11741.9,False
UNKNOWN,N/A,Long,N/A,24366.4,,,N/A,25179.1,,,812.7,3.34,,1.49,12554.6,True
UNKNOWN,N/A,Long,N/A,26564.1,,,N/A,23748.7,,,-2815.4,-10.6,,-3.73,9739.2,False
UNKNOWN,N/A,Long,N/A,23899.4,,,N/A,24245.7,,,346.3,1.45,,0.52,10085.5,True
UNKNOWN,N/A,Long,N/A,24596.4,,,N/A,22547.75,,,-2048.65,-8.33,,-3.19,8036.85,False
UNKNOWN,N/A,Long,N/A,24275.45,,,N/A,23593.6,,,-681.85,-2.81,,-0.92,7355.0,False
UNKNOWN,N/A,Long,N/A,23874.9,,,N/A,25071.7,,,1196.8,5.01,,1.35,8551.8,True
UNKNOWN,N/A,Long,N/A,25126.0,,,N/A,25302.2,,,176.2,0.7,,1.11,8728.0,True
